#,Component,Part / Specification,Quantity,Unit Cost (USD),Total (USD),Source Suggestion,Notes
1,MCU,Arduino Nano ESP32,1,20.00,20.00,Arduino Store / Mouser,Must be the ESP32 variant (not classic Nano)
2,PM Sensor,Sensirion SPS30,1,45.00,45.00,Mouser / DigiKey / Sensirion,Factory calibrated; UART or I2C selectable; 5V supply
3,Display,1.3in I2C OLED SH1106 128x64,1,8.00,8.00,Amazon / AliExpress,Confirm I2C address is 0x3C; some breakouts have solder jumper
4,SD Module,MicroSD SPI breakout module,1,3.00,3.00,Amazon / Adafruit,Must operate at 3.3V; check onboard voltage regulator
5,RTC,DS3231 I2C RTC module with CR2032 socket,1,5.00,5.00,Amazon / AliExpress,Includes EEPROM (AT24C32) on same module; I2C 0x68
6,Relay,Solid State Relay 5V trigger (Omron G3MB-202P or equiv),1,8.00,8.00,Mouser / Amazon,Must be opto-isolated; 5V DC control; match load current rating
7,LDO Reg,AMS1117-3.3 or LD1117V33 (TO-220 or SOT-223),1,1.00,1.00,DigiKey / LCSC,Dedicated 3.3V rail for SD card; 800mA capable
8,Button,6mm tactile momentary push button through-hole,1,0.50,0.50,Amazon / DigiKey,Any standard 6mm footprint
9,Resistor,10 kohm 1/4W through-hole (button pull-up),1,0.10,0.10,DigiKey / Assortment,Carbon film acceptable
10,Capacitor,0.1uF ceramic (button debounce),1,0.10,0.10,DigiKey / Assortment,50V rating; standard 0.1" pitch
11,Capacitor,100uF electrolytic 10V+ (SD power decoupling),1,0.30,0.30,DigiKey / Assortment,ESR < 0.5 ohm preferred
12,Capacitor,0.1uF ceramic (SD HF decoupling),1,0.10,0.10,DigiKey / Assortment,Place as close to SD VCC pin as possible
13,Snubber,RC snubber kit 100ohm + 0.1uF 250VAC,1,1.00,1.00,Amazon / eBay,Across relay AC output terminals; suppresses inductive kick
14,MicroSD Card,Class 10 MicroSD 8-32GB FAT32,1,8.00,8.00,Amazon,Pre-format FAT32; exFAT not supported by Arduino SD library
15,Coin Cell,CR2032 3V lithium coin cell,1,1.50,1.50,Any electronics/hardware store,DS3231 backup power when main power removed
16,Enclosure,ABS project box min 100x60x35mm,1,10.00,10.00,Amazon / Hammond Mfg,Allow airflow slots near sensor inlet/outlet
,,,,TOTAL,113.60,,
